priority_rank,name,state,city,tier,assets_musd,offices,est_net_benefit,net_low,net_high,roi_pct,log_assets,log_offices,cluster,segment,segment_rank
187,Commercial Bank of California,CA,Irvine,Large / regional,3899.4,10.0,1293107.445198067,578677.0420480669,2007537.848348067,381.0167010825196,6.590997787350715,2.3978952727983707,1,A — Target first,1
188,Bravera Bank,ND,Dickinson,Large / regional,3884.2,35.0,1287866.1700031853,576214.9551881852,1999517.3848181856,380.3608202269642,6.589301583918802,3.58351893845611,1,A — Target first,1
189,"Investar Bank, National Association",LA,Baton Rouge,Large / regional,3866.0,38.0,1281561.3336777024,573253.6093977023,1989869.0579577023,379.569725748707,6.587261849692534,3.6635616461296463,1,A — Target first,1
190,Security Bank of Kansas City,KS,Kansas City,Large / regional,3821.8,36.0,1266284.724373935,566079.866683935,1966489.5820639357,377.6431863668644,6.582267956091819,3.6109179126442243,1,A — Target first,1
191,Carrollton Bank,IL,Carrollton,Large / regional,3820.1,13.0,1265713.4804765764,565811.6603965764,1965615.3005565763,377.57087722613727,6.582074731728397,2.639057329615259,1,A — Target first,1
193,"Cornerstone Capital Bank, SSB",TX,Houston,Large / regional,3798.5,19.0,1258250.2200860498,562307.8593710497,1954192.58080105,376.6243619520223,6.579612130740304,2.995732273553991,1,A — Target first,1
194,Independence Bank of Kentucky,KY,Owensboro,Large / regional,3794.1,26.0,1256716.669285961,561587.966385961,1951845.3721859609,376.429455787476,6.579108773277961,3.295836866004329,1,A — Target first,1
197,Bank of the Sierra,CA,Porterville,Large / regional,3751.9,35.0,1242161.7017771886,554756.6104171886,1929566.7931371883,374.5724618777114,6.574251254539929,3.58351893845611,1,A — Target first,1
198,Bank of Utah,UT,Ogden,Large / regional,3725.8,20.0,1233165.08137218,550535.1225571798,1915795.04018718,373.41810363133663,6.571219538368163,3.044522437723423,1,A — Target first,1
199,Gulf Coast Bank and Trust Company,LA,New Orleans,Large / regional,3714.2,40.0,1229155.1926127642,548653.8256677643,1909656.559557764,372.9019686543021,6.569865285660567,3.713572066704308,1,A — Target first,1
200,Colony Bank,GA,Fitzgerald,Large / regional,3705.2,33.0,1226028.7433762532,547187.1211162531,1904870.365636253,372.4988459111216,6.56881165537934,3.5263605246161616,1,A — Target first,1
201,Community West Bank,CA,Fresno,Large / regional,3697.2,43.0,1223288.984700801,545901.9063258012,1900676.063075801,372.1450763263475,6.567872944364566,3.784189633918261,1,A — Target first,1
202,Frandsen Bank & Trust,MN,Lonsdale,Large / regional,3688.2,41.0,1220182.9045406338,544444.944380634,1895920.864700634,371.743431224435,6.566814463504501,3.7376696182833684,1,A — Target first,1
203,Parkway Bank and Trust Company,IL,Harwood Heights,Large / regional,3666.2,27.0,1212592.2439338912,540884.8305588912,1884299.6573088916,370.7593040380119,6.564216153077687,3.332204510175204,1,A — Target first,1
204,D. L. Evans Bank,ID,Burley,Large / regional,3660.2,41.0,1210502.1551288906,539904.6582238906,1881099.6520338908,370.4876770126685,6.563504816684922,3.7376696182833684,1,A — Target first,1
205,First Community Bank,VA,Bluefield,Large / regional,3644.8,68.0,1205200.0361738922,537418.370603892,1872981.701743892,369.7973533078375,6.561673702399006,4.23410650459726,1,A — Target first,1
206,ENCORE BANK,AR,Little Rock,Large / regional,3588.7,19.0,1185850.6167094642,528347.4958544642,1843353.7375644648,367.2625537461636,6.5549371546859305,2.995732273553991,1,A — Target first,1
207,SouthEast Bank,TN,Farragut,Large / regional,3578.1,15.0,1182200.6598741957,526636.8697941955,1837764.449954196,366.7816332705378,6.553652473973474,2.772588722239781,1,A — Target first,1
208,First Farmers Bank & Trust Co.,IN,Converse,Large / regional,3551.8,37.0,1173121.5996339822,522382.4101489821,1823860.789118982,365.5815004715674,6.550448502899969,3.6375861597263857,1,A — Target first,1
209,First PREMIER Bank,SD,Sioux Falls,Large / regional,3550.6,13.0,1172709.973740501,522189.542965501,1823230.4045155009,365.52695730784046,6.550301748737082,2.639057329615259,1,A — Target first,1
210,"Home Bank, National Association",LA,Lafayette,Large / regional,3543.5,44.0,1170266.835513526,521044.84944352624,1819488.8215835264,365.2029890241186,6.549432437097535,3.8066624897703196,1,A — Target first,1
212,First Community Bank,AR,Batesville,Large / regional,3501.2,35.0,1155689.1761097691,514216.0852497692,1797162.2669697693,363.2614709321304,6.544216919795453,3.58351893845611,1,A — Target first,1
